商品编码,品名,序号,要素名,真实示例值,在目录要素内
01012100,改良种用,1,是否改良种用,改良种用,是
01012100,改良种用,2,品种,阿拉伯马,是
01012900,其他,1,是否改良种用,改良种用,是
01012900,其他,2,品种,阿拉伯马,是
01013010,改良种用,1,是否改良种用,改良种用,是
01013010,改良种用,2,品种,阿拉伯马,是
01013090,其他,1,是否改良种用,改良种用,是
01013090,其他,2,品种,阿拉伯马,是
01019000,其他,1,是否改良种用,改良种用,是
01019000,其他,2,品种,阿拉伯马,是
01022900,其他,1,是否改良种用,改良种用,是
01023100,改良种用,1,是否改良种用,改良种用,是
01023900,其他,1,是否改良种用,改良种用,是
01029010,改良种用,1,是否改良种用,改良种用,是
01029090,其他,1,是否改良种用,改良种用,是
01031000,改良种用,1,是否改良种用,改良种用,是
01039110,重量在10千克以下,1,个体重量,100千克/头,是
01039120,重量在10千克及以上，但在50千克以下,1,个体重量,100千克/头,是
01039200,重量在50千克及以上,1,个体重量,100千克/头,是
01041090,其他,1,是否改良种用,改良种用,是
01042090,其他,1,是否改良种用,改良种用,是
01051190,其他,1,是否改良种用,改良种用,是
01051190,其他,2,个体重量,150克/只,是
01051290,其他,1,是否改良种用,改良种用,是
01051290,其他,2,个体重量,150克/只,是
01051390,其他,1,是否改良种用,改良种用,是
01051390,其他,2,个体重量,150克/只,是
01051490,其他,1,是否改良种用,改良种用,是
01051490,其他,2,个体重量,150克/只,是
01051590,其他,1,是否改良种用,改良种用,是
01051590,其他,2,个体重量,150克/只,是
01059490,其他,1,是否改良种用,改良种用,是
01059490,其他,2,个体重量,150克/只,是
01059991,鸭,1,是否改良种用,改良种用,是
01059991,鸭,2,个体重量,150克/只,是
01059992,鹅,1,是否改良种用,改良种用,是
01059992,鹅,2,个体重量,150克/只,是
01059993,珍珠鸡,1,是否改良种用,改良种用,是
01059993,珍珠鸡,2,个体重量,150克/只,是
01059994,火鸡,1,是否改良种用,改良种用,是
01059994,火鸡,2,个体重量,150克/只,是
01061110,改良种用,1,是否改良种用,非改良种用,是
01061190,其他,1,是否改良种用,非改良种用,是
01061211,改良种用,1,是否改良种用,非改良种用,是
01061219,其他,1,是否改良种用,非改良种用,是
01061221,改良种用,1,是否改良种用,非改良种用,是
01061229,其他,1,是否改良种用,非改良种用,是
01061310,改良种用,1,是否改良种用,非改良种用,是
01061390,其他,1,是否改良种用,非改良种用,是
01061410,改良种用,1,是否改良种用,非改良种用,是
01061490,其他,1,是否改良种用,非改良种用,是
01061910,改良种用,1,是否改良种用,非改良种用,是
01061990,其他,1,是否改良种用,非改良种用,是
01062011,鳄鱼苗,1,是否改良种用,改良种用,是
01062019,其他,1,是否改良种用,改良种用,是
01062020,食用,1,用途（食用）,食用,是
01063110,改良种用,1,是否改良种用,改良种用,是
01063190,其他,1,是否改良种用,改良种用,是
01063210,改良种用,1,是否改良种用,改良种用,是
01063290,其他,1,是否改良种用,改良种用,是
01063310,改良种用,1,是否改良种用,改良种用,是
01063390,其他,1,是否改良种用,改良种用,是
01063910,改良种用,1,是否改良种用,改良种用,是
01063910,改良种用,2,如为信鸽请注明足环号,非信鸽,是
01063921,乳鸽,1,用途（食用）,食用,是
01063923,野鸭,1,用途（食用）,食用,是
01063929,其他,1,用途（食用）,食用,是
01063990,其他,1,如为信鸽请注明足环号,非信鸽,是
01064910,改良种用,1,是否改良种用,非改良种用,是
01064990,其他,1,是否改良种用,非改良种用,是
01069011,蛙苗,1,是否改良种用,改良种用,是
01069019,其他,1,是否改良种用,改良种用,是
01069090,其他,1,是否改良种用,改良种用,是
02011000,整头及半头,1,制作或保存方法（鲜、冷）,冷藏,是
02011000,整头及半头,2,状态（整头、半头）,带骨,是
02011000,整头及半头,3,牛肉部位（如眼肉、腱子肉等）,腱子肉,是
02011000,整头及半头,4,包装规格,10千克/箱,是
02011000,整头及半头,5,英文品名,chilled beef with bones and wild,是
02011000,整头及半头,6,品牌（中文或外文名称）,中文：××（英文：××）,是
02011000,整头及半头,7,厂号,厂号：××,是
02011000,整头及半头,8,级别（A级、B级等）,A级,是
02011000,整头及半头,9,饲养方式（草饲、谷饲等）,草饲,是
02011000,整头及半头,10,签约日期,20201012,是
