商品编码,品名,监管条件,检验检疫类别,法定单位,政策依据
01012100,改良种用,AFEB,PQ,千克/头,税委会公告2026年第5号
01012900,其他,AFEB,PQ,千克/头,税委会公告2026年第5号
01013010,改良种用,AFEB,PQ,千克/头,税委会公告2026年第5号
01013090,其他,AFEB,PQ,千克/头,税委会公告2026年第5号
01019000,其他,AB,PQ,千克/头,税委会公告2026年第5号
01022100,改良种用,AB,PQ,千克/头,税委会公告2026年第5号
01022900,其他,4xAB,PQ,千克/头,税委会公告2026年第5号
01023100,改良种用,ABEF,PQ,千克/头,税委会公告2026年第5号
01023900,其他,4ABEFx,PQ,千克/头,税委会公告2026年第5号
01029010,改良种用,AFEB,PQ,千克/头,税委会公告2026年第5号
01029090,其他,4xABFE,PQ,千克/头,税委会公告2026年第5号
01031000,改良种用,AFEB,PQ,千克/头,税委会公告2026年第5号
01039110,重量在10千克以下,4xABFE,PRQ,千克/头,税委会公告2026年第5号
01039120,重量在10千克及以上，但在50千克以下,4xABFE,PRQ,千克/头,税委会公告2026年第5号
01039200,重量在50千克及以上,4xABFE,PRQ,千克/头,税委会公告2026年第5号
01041010,改良种用,AB,PQ,千克/头,税委会公告2026年第5号
01041090,其他,AB,PRQ,千克/头,税委会公告2026年第5号
01042010,改良种用,AB,PQ,千克/头,税委会公告2026年第5号
01042090,其他,AB,PQ,千克/头,税委会公告2026年第5号
01051110,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01051190,其他,AB,PRQ,千克/只,税委会公告2026年第5号
01051210,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01051290,其他,AB,PRQ,千克/只,税委会公告2026年第5号
01051310,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01051390,其他,AB,PRQ,千克/只,税委会公告2026年第5号
01051410,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01051490,其他,AB,PRQ,千克/只,税委会公告2026年第5号
01051510,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01051590,其他,AB,PRQ,千克/只,税委会公告2026年第5号
01059410,改良种用,4ABxxy,PQ,千克/只,税委会公告2026年第5号
01059490,其他,4xAB,PRQ,千克/只,税委会公告2026年第5号
01059910,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01059991,鸭,AB,PQ,千克/只,税委会公告2026年第5号
01059992,鹅,AB,PQ,千克/只,税委会公告2026年第5号
01059993,珍珠鸡,4xAB,PQ,千克/只,税委会公告2026年第5号
01059994,火鸡,AB,PQ,千克/只,税委会公告2026年第5号
