商品编码,单证编号,单证名称
01012100,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01012100,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01012100,I-3-02,《原产地证书》
01012900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01012900,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01012900,I-3-02,《原产地证书》
01013010,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01013010,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01013010,I-3-02,《原产地证书》
01013090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01013090,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01013090,I-3-02,《原产地证书》
01019000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01019000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01019000,I-3-02,《原产地证书》
01022100,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01022100,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01022100,I-3-02,《原产地证书》
01022900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01022900,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01022900,I-3-02,《原产地证书》
01023100,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01023100,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01023100,I-3-02,《原产地证书》
01023900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01023900,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01023900,I-3-02,《原产地证书》
01029010,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01029010,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01029010,I-3-02,《原产地证书》
01029090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01029090,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01029090,I-3-02,《原产地证书》
01031000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01031000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01031000,I-3-02,《原产地证书》
01039110,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01039110,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01039110,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01039110,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01039110,I-3-02,《原产地证书》
01039120,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
